CustomerID,Amount,Frequency,Recency,Cluster
12346,0.0,2,325,0
12347,4309.999987721443,182,1,1
12348,1797.2399966716766,31,74,2
12349,1757.5499940514565,73,18,2
12350,334.39999651908875,17,309,0
12352,1545.4099910259247,95,35,2
12353,88.99999952316284,4,203,0
12354,1079.4000084400177,58,231,0
12355,459.39999866485596,13,213,0
12356,2811.4299854040146,59,22,2
12357,6207.669989347458,131,32,1
12358,1168.0599737167358,19,1,2
12359,6245.529964864254,254,7,1
12360,2662.0600061416626,129,51,2
12361,189.90000128746033,10,286,0
12362,5154.580000460148,274,2,1
12363,552.0000078678131,23,109,2
12364,1313.1000023782253,85,7,2
12365,320.6900027990341,23,290,0
12367,168.9000005722046,11,3,2
12370,3545.6899975538254,167,50,1
12371,1887.9599884748459,63,44,2
12372,1298.0399992465973,52,71,2
12373,364.600004196167,14,310,0
12374,742.930002450943,33,24,2
12375,455.4199912548065,18,2,2
12377,1628.1199877262115,77,314,0
12378,4008.619987696409,219,129,1
12379,850.2899980545044,41,81,2
12380,2720.5599776506424,105,21,2
12381,1803.959992557764,91,4,2
12383,1839.3099970817566,100,184,0
12384,566.1599940061569,30,28,2
12386,401.90000104904175,10,337,0
12388,2780.659991502762,100,15,2
12390,549.8399973511696,32,79,2
12391,460.88999876379967,100,21,2
12393,1582.5999972820282,64,71,2
12394,1272.4800057411194,27,63,2
12395,2998.2800109386444,159,15,2
12397,2409.8999956846237,126,35,2
12398,1635.65999725461,85,45,2
12399,1108.6499971151352,59,118,2
12401,84.29999923706055,5,302,0
12402,225.6000039577484,11,322,0
12403,409.700008392334,6,49,2
12405,1710.389987707138,54,148,2
12406,3280.7500029802322,108,21,2
12407,1708.1199936568737,77,49,2
12408,2842.5699939727783,113,32,2
12409,11056.93000048399,114,78,1
12410,681.0799987316132,28,300,0
12412,1226.879997253418,61,74,2
12413,694.149994134903,40,66,2
12414,562.4099891781807,18,216,0
12417,3578.79999384284,198,2,1
12418,668.5799892246723,34,112,2
12420,600.3899936676025,29,63,2
12421,806.2699954509735,46,15,2
12422,803.5600004196167,39,95,2
12423,1849.10999584198,126,0,2
12424,1760.959984779358,30,162,0
12425,777.1999943256378,36,77,2
12426,582.7299995794892,30,194,0
12427,708.3699963092804,35,11,2
12428,7877.199963361025,300,25,1
12429,3750.3999910354614,97,8,2
12430,256.39999628067017,11,42,2
12431,6416.389971792698,240,35,1
12432,5059.3199771642685,108,42,1
12433,13375.869884997606,420,0,1
12434,765.1899938583374,54,84,2
12435,7829.889964103699,36,79,1
12436,509.00999450683594,16,99,2
12437,4896.659982800484,201,1,1
12438,2906.8499950170517,98,13,2
12441,173.5500006377697,11,366,0
12442,172.059999614954,12,2,2
12444,5005.45999288559,177,20,1
12445,133.4000005722046,4,21,2
12446,1002.3099929094315,58,57,2
12447,476.48999786376953,26,242,0
12448,449.4499990940094,22,43,2
12449,4067.2899984121323,191,21,1
12450,197.8799967765808,8,155,0
12451,8933.51996922493,355,10,1
12452,428.5699987411499,23,16,2
12453,707.0899955630302,43,133,2
12454,0.0,30,52,2
12455,2466.8599939346313,90,72,2
12456,3153.8899896740913,129,43,2
12457,1917.7799921035767,68,57,2
12458,947.3999980688095,38,70,2
12461,826.8799916505814,35,93,2
12462,1124.0099942684174,72,1,2
12463,1303.6300011873245,88,45,2
12464,1212.0499949455261,29,9,2
12465,733.8900012969971,51,7,2
12468,724.0400027036667,40,142,2
12472,6229.479984730482,391,30,1
12473,2848.2300004661083,179,28,1
12474,7116.469999879599,457,16,1
12475,723.3799969255924,36,53,2
12476,6546.579973816872,264,0,1
12477,13117.009900331497,308,22,1
12478,680.9899959564209,36,3,2
12479,477.2999997138977,35,3,2
12480,3281.629993624985,154,27,1
12481,5590.859993606806,218,22,1
12483,2327.129978656769,81,16,2
12484,4495.269974350929,350,32,1
12488,1298.6600008010864,55,9,2
12489,334.92999362945557,15,335,0
12490,5417.9299639463425,245,4,1
12491,460.39999890327454,26,38,2
12492,263.2099997103214,20,62,2
12493,416.7899932861328,23,165,0
12494,1139.3499929904938,84,9,2
12497,1043.0999949872494,14,81,2
12498,403.69999837875366,23,20,2
12500,4206.26988697052,65,22,2
12501,2089.6799845397472,160,314,0
12502,3723.8699840307236,147,95,1
12503,-1126.0,1,337,0
12504,114.0,15,17,2
12505,-4.5,1,300,0
12506,73.49999964237213,23,232,0
12507,1258.0600051879883,23,133,2
12508,398.26999989151955,69,25,2
12509,176.49999690055847,7,283,0
12510,982.57000207901,33,142,2
12512,138.02999848127365,34,65,2
12513,586.7899967432022,36,84,2
12514,1017.6799914836884,51,266,0
12515,383.7000000476837,16,352,0
12516,1312.0599808692932,26,77,2
12517,2464.8899841308594,286,27,1
12518,2056.8899969160557,124,0,2
12519,340.8400001525879,18,63,2
12520,2582.5099922418594,155,78,2
12521,599.6799932718277,38,142,2
12522,192.72000029683113,12,38,2
12523,1745.5699880123138,110,1,2
12524,4485.719924300909,144,8,1
12526,1316.6599955558777,71,0,2
12527,348.7099953889847,18,81,2
12528,1922.2799907326698,95,8,2
12530,1623.6299917697906,68,59,2
12531,125.21999990940094,17,14,2
12532,349.8299951553345,16,29,2
12534,1089.1799940764904,63,130,2
12535,716.349986076355,34,91,2
12536,4106.819983065128,273,7,1
12538,363.9499992132187,21,28,2
12539,3852.4999961853027,274,21,1
12540,13309.039963662624,481,19,1
12541,981.180003464222,52,29,2
12544,355.69999980926514,20,29,2
12545,1000.3900051116943,50,74,2
12546,1141.4999951124191,70,46,2
12547,207.80000114440918,8,197,0
12548,95.20000171661377,5,165,0
12550,964.8299940526485,57,78,2
12551,168.00000190734863,10,357,0
12552,437.81999841332436,20,38,2
12553,3652.2499665915966,196,7,1
12556,603.7099987566471,121,49,2
12557,11990.960164785385,33,15,1
12558,0.0,22,1,2
12559,536.2099943757057,22,310,0
12560,2101.3899995982647,111,4,2
12561,238.84999859333038,16,302,0
12562,3781.739967018366,168,7,1
12564,456.8999991416931,21,260,0
12565,131.16999971866608,10,281,0
12566,346.69999715685844,20,72,2
12567,9114.939959257841,463,22,1
12569,4064.9899804592133,191,1,1
12571,519.6099987030029,34,39,2
12572,1004.7199971154332,62,8,2
12573,160.54000037908554,28,226,0
12574,218.44999933242798,11,315,0
12576,1306.9799966812134,89,35,2
12577,595.3999959677458,148,34,2
12578,2753.359985470772,120,20,2
12579,410.7199991941452,31,72,2
12580,415.7000005245209,24,246,0
12581,197.71000030636787,15,39,2
12582,511.3600001335144,22,238,0
12583,7187.339995205402,251,2,1
12584,1893.9499888420105,126,3,2
12585,1982.8100054562092,97,233,0
12586,179.93999749422073,12,16,2
12587,143.99999618530273,4,7,2
12588,214.89999771118164,10,38,2
12589,646.6800007820129,35,28,2
12590,9861.379929304123,70,189,1
12591,452.8500018119812,26,316,0
12592,437.6000018119812,18,91,2
12593,418.0999994277954,21,108,2
12594,3320.219957590103,119,37,2
12596,618.2700002491474,27,50,2
12597,3683.12999355793,214,18,1
12598,3002.6799998283386,133,9,2
12599,1032.579999446869,62,28,2
12600,2581.0399425029755,65,28,2
12601,569.5599995851517,29,189,0
12602,153.11999797821045,12,58,2
12603,739.1999893188477,3,21,2
12604,254.18000078201294,16,78,2
12605,-7.499999761581421,3,364,0
12607,0.0,202,57,2
12609,1126.8499990701675,60,77,2
12610,2057.9899958372116,111,22,2
12611,1193.320000052452,65,51,2
12612,643.5899934768677,21,57,2
12613,3218.979991108179,163,30,1
